Season,TEAM_ID,TEAM_NAME,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT
2020-21,1610612737,Atlanta Hawks,725,1182,0.613,304,735,0.414,171,393,0.435,61,131,0.466,65,193,0.337,427,1195,0.357,0,6,0
2020-21,1610612738,Boston Celtics,696,1055,0.66,334,783,0.427,239,570,0.419,65,154,0.422,49,136,0.36,446,1188,0.375,0,9,0
2020-21,1610612751,Brooklyn Nets,800,1199,0.667,310,666,0.465,198,428,0.463,66,153,0.431,83,222,0.374,499,1266,0.394,0,8,0
2020-21,1610612766,Charlotte Hornets,753,1260,0.598,249,591,0.421,145,369,0.393,74,179,0.413,69,162,0.426,457,1211,0.377,0,6,0
2020-21,1610612741,Chicago Bulls,795,1227,0.648,279,639,0.437,204,489,0.417,104,222,0.468,69,167,0.413,378,1070,0.353,1,8,0.125
2020-21,1610612739,Cleveland Cavaliers,823,1384,0.595,359,857,0.419,130,368,0.353,55,161,0.342,52,137,0.38,308,912,0.338,0,3,0
2020-21,1610612742,Dallas Mavericks,656,978,0.671,262,595,0.44,217,466,0.466,61,162,0.377,60,173,0.347,456,1248,0.365,0,8,0
2020-21,1610612743,Denver Nuggets,738,1100,0.671,336,730,0.46,255,579,0.44,77,178,0.433,76,160,0.475,434,1182,0.367,0,9,0
2020-21,1610612765,Detroit Pistons,773,1235,0.626,215,602,0.357,139,384,0.362,69,197,0.35,51,152,0.336,406,1153,0.352,0,3,0
2020-21,1610612744,Golden State Warriors,758,1162,0.652,273,641,0.426,191,504,0.379,82,210,0.39,83,200,0.415,455,1263,0.36,0,10,0
2020-21,1610612745,Houston Rockets,813,1282,0.634,181,481,0.376,90,311,0.289,84,234,0.359,68,212,0.321,415,1280,0.324,1,7,0.143
2020-21,1610612754,Indiana Pacers,902,1472,0.613,241,556,0.433,144,360,0.4,78,178,0.438,59,145,0.407,396,1145,0.346,0,4,0
2020-21,1610612746,LA Clippers,651,971,0.67,318,734,0.433,294,696,0.422,126,252,0.5,104,220,0.473,433,1112,0.389,0,9,0
2020-21,1610612747,Los Angeles Lakers,907,1327,0.683,257,610,0.421,216,575,0.376,65,193,0.337,72,171,0.421,346,999,0.346,0,3,0
2020-21,1610612763,Memphis Grizzlies,693,1109,0.625,460,1048,0.439,160,379,0.422,89,220,0.405,52,146,0.356,290,867,0.334,0,3,0
2020-21,1610612748,Miami Heat,744,1074,0.693,247,603,0.41,173,459,0.377,64,203,0.315,69,187,0.369,434,1241,0.35,0,9,0
2020-21,1610612749,Milwaukee Bucks,805,1167,0.69,247,580,0.426,235,580,0.405,70,164,0.427,81,200,0.405,482,1246,0.387,0,2,0
2020-21,1610612750,Minnesota Timberwolves,842,1388,0.607,239,629,0.38,146,410,0.356,85,220,0.386,55,156,0.353,412,1204,0.342,0,7,0
2020-21,1610612740,New Orleans Pelicans,945,1450,0.652,207,528,0.392,215,467,0.46,60,169,0.355,57,154,0.37,364,1028,0.354,1,9,0.111
2020-21,1610612752,New York Knicks,736,1239,0.594,297,751,0.395,241,611,0.394,76,186,0.409,73,185,0.395,330,904,0.365,0,3,0
2020-21,1610612760,Oklahoma City Thunder,744,1220,0.61,267,633,0.422,148,369,0.401,79,204,0.387,52,137,0.38,434,1268,0.342,1,12,0.083
2020-21,1610612753,Orlando Magic,530,867,0.611,325,809,0.402,313,771,0.406,60,160,0.375,34,90,0.378,436,1231,0.354,0,6,0
2020-21,1610612755,Philadelphia 76ers,706,1124,0.628,385,814,0.473,308,678,0.454,59,178,0.331,86,188,0.457,345,952,0.362,0,3,0
2020-21,1610612756,Phoenix Suns,625,943,0.663,336,661,0.508,315,682,0.462,96,211,0.455,94,205,0.459,374,1054,0.355,0,9,0
2020-21,1610612757,Portland Trail Blazers,640,1051,0.609,160,450,0.356,259,604,0.429,59,146,0.404,58,188,0.309,599,1545,0.388,0,3,0
2020-21,1610612758,Sacramento Kings,796,1177,0.676,424,920,0.461,179,435,0.411,91,207,0.44,61,148,0.412,388,1119,0.347,0,7,0
2020-21,1610612759,San Antonio Spurs,676,1099,0.615,277,710,0.39,328,734,0.447,57,151,0.377,51,129,0.395,338,957,0.353,0,2,0
2020-21,1610612761,Toronto Raptors,728,1204,0.605,195,518,0.376,135,363,0.372,88,219,0.402,82,199,0.412,512,1373,0.373,0,7,0
2020-21,1610612762,Utah Jazz,621,972,0.639,315,697,0.452,100,269,0.372,108,255,0.424,108,257,0.42,518,1331,0.389,0,7,0
2020-21,1610612764,Washington Wizards,653,989,0.66,387,811,0.477,277,685,0.404,63,174,0.362,46,140,0.329,356,1029,0.346,0,6,0
2019-20,1610612737,Atlanta Hawks,1255,1958,0.641,434,1098,0.395,229,597,0.384,90,245,0.367,86,275,0.313,629,1882,0.334,0,12,0
2019-20,1610612738,Boston Celtics,1302,2087,0.624,417,1059,0.394,347,814,0.426,112,266,0.421,73,215,0.34,720,1985,0.363,0,22,0
2019-20,1610612751,Brooklyn Nets,1448,2339,0.619,336,913,0.368,185,504,0.367,118,306,0.386,116,318,0.365,705,2105,0.335,0,13,0
2019-20,1610612766,Charlotte Hornets,1162,1962,0.592,348,985,0.353,131,409,0.32,104,256,0.406,82,221,0.371,598,1739,0.344,0,14,0
2019-20,1610612741,Chicago Bulls,1293,2148,0.602,315,839,0.375,173,493,0.351,128,330,0.388,77,204,0.377,587,1736,0.338,0,12,0
2019-20,1610612739,Cleveland Cavaliers,1147,1889,0.607,454,1053,0.431,291,707,0.412,89,226,0.394,80,195,0.41,558,1638,0.341,0,7,0
2019-20,1610612742,Dallas Mavericks,1263,1875,0.674,418,1064,0.393,308,744,0.414,118,303,0.389,154,367,0.42,863,2400,0.36,0,19,0
2019-20,1610612743,Denver Nuggets,1356,2074,0.654,461,1160,0.397,454,1028,0.442,111,271,0.41,92,231,0.398,595,1706,0.349,0,18,0
2019-20,1610612765,Detroit Pistons,1203,1918,0.627,389,1046,0.372,214,542,0.395,138,312,0.442,129,324,0.398,521,1503,0.347,1,13,0.077
2019-20,1610612744,Golden State Warriors,1029,1645,0.626,394,1026,0.384,409,1028,0.398,86,209,0.411,71,189,0.376,521,1622,0.321,0,11,0
2019-20,1610612745,Houston Rockets,1398,2180,0.641,253,677,0.374,161,398,0.405,157,390,0.403,163,447,0.365,804,2410,0.334,0,10,0
